Name,Soultion,
Apple__Apple_scab,Avocado leaf roller,"Read about the Avocado leaf roller pest and the damage it does to avocados, custard apples, coffee, tea and other crops in North Queensland and learn how to control it."
Apple__Black_rot,Banana aphid,"Information on the Banana aphid insect pest which can spread banana bunchy top virus (BBTV) including description, distribution, hosts, damage and controls."
Apple_Cedar_apple_rust,Banana flower thrips,"Information on the Banana flower thrip insect pest, which is found throughout the banana-growing districts."
Apple_healthy,Clearwing borer,"independently. Description Clearwing borer (Carmenta chrysophanes) insect pest in all lychee and longan growing areas in Queensland. Description, life cycle, host range, damage, control."
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Citrus mealybug,"Citrus mealybug (Planococcus citri) is a major and frequent pest of many fruit and ornamentals throughout Australia. Description, life cycle, damage and control."
Corn_(maize)___Common_rust_,Diamondback moth,Diamondback moth insect pest information and control options.
Corn_(maize)___healthy,Eggfruit caterpillar,"Information on the Eggfruit caterpillar. Eggplant is the main commercial host but it also occasionally attacks tomato, capsicum and pepino."
Corn_(maize)___Northern_Leaf_Blight,False spider mite,"False spider mite (Brevipalpus sp.) is minor pest of a variety of fruit crops.Predatory mites control numbers but if fruit loss is high, consider treatment."
Grape___Black_rot,Flower eating caterpillar,Flower eating caterpillar information and control options.
Grape___Esca_(Black_Measles),Orange fruit borer,Orange fruit borer (Isotenes miserana) is a minor and sporadic pest of a variety of fruit crops in coastal Queensland.Use chemical sprays when numbers indicate.
Grape___healthy,Red scale,"Red scale (Aonidiella aurantii) infests a range of hosts including citrus, passionfruit. Biological control is crucial so spray only if infestation is high."
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Pink wax scale,Pink wax scale (Ceroplastes rubens) is a minor and frequent pest of many tropical fruit crops but is well managed with a range of biological controls.
Potato___Early_blight,Potato moth,Potato moth (Phthorimaea operculella) is a serious pest of tomatoes and is usually supressed by parasitoids. Avoid planting adjacent to susceptible crops.
Potato___healthy,Potato moth,Potato moth (Phthorimaea operculella) is a serious pest of tomatoes and is usually supressed by parasitoids. Avoid planting adjacent to susceptible crops.
Potato___Late_blight,Potato moth,Potato moth (Phthorimaea operculella) is a serious pest of tomatoes and is usually supressed by parasitoids. Avoid planting adjacent to susceptible crops.
Tomato___Bacterial_spot,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate."
Tomato___Early_blight,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate."
Tomato___healthy,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate."
Tomato___Late_blight,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate."
Tomato___Leaf_Mold,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate."
Tomato___Septoria_leaf_spot,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate."
Tomato___Spider_mites Two-spotted_spider_mite,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate."
Tomato___Target_Spot,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate."
Tomato___Tomato_mosaic_virus,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate."
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate."
