Name,Soultion,Description,Pesticide
Apple___Apple_scab,Avocado leaf roller,"Read about the Avocado leaf roller pest and the damage it does to avocados, custard apples, coffee, tea and other crops in North Queensland and learn how to control it.",Liebigs Mitend for Mites and Thrips Repellent (Green)
Apple___Black_rot,Banana aphid,"Information on the Banana aphid insect pest which can spread banana bunchy top virus (BBTV) including description, distribution, hosts, damage and controls.",Liebigs Mitend for Mites and Thrips Repellent (Green)
Apple___Cedar_apple_rust,Banana flower thrips,"Information on the Banana flower thrip insect pest, which is found throughout the banana-growing districts.",Liebigs Mitend for Mites and Thrips Repellent (Green)
Apple___healthy,Clearwing borer,"independently. Description Clearwing borer (Carmenta chrysophanes) insect pest in all lychee and longan growing areas in Queensland. Description, life cycle, host range, damage, control.",Liebigs Mitend for Mites and Thrips Repellent (Green)
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Citrus mealybug,"Citrus mealybug (Planococcus citri) is a major and frequent pest of many fruit and ornamentals throughout Australia. Description, life cycle, damage and control.",Liebigs Mitend for Mites and Thrips Repellent (Green)
Corn_(maize)___Common_rust_,Diamondback moth,Diamondback moth insect pest information and control options.,TATA Tafgor Insecticide |Tata Product |100ml
Corn_(maize)___healthy,Eggfruit caterpillar,"Information on the Eggfruit caterpillar. Eggplant is the main commercial host but it also occasionally attacks tomato, capsicum and pepino.",TATA Tafgor Insecticide |Tata Product |100ml
Corn_(maize)___Northern_Leaf_Blight,False spider mite,"False spider mite (Brevipalpus sp.) is minor pest of a variety of fruit crops.Predatory mites control numbers but if fruit loss is high, consider treatment.",TATA Tafgor Insecticide |Tata Product |100ml
Grape___Black_rot,Flower eating caterpillar,Flower eating caterpillar information and control options.,TATA Tafgor Insecticide |Tata Product |100ml
Grape___Esca_(Black_Measles),Orange fruit borer,Orange fruit borer (Isotenes miserana) is a minor and sporadic pest of a variety of fruit crops in coastal Queensland.Use chemical sprays when numbers indicate.,TATA Tafgor Insecticide |Tata Product |100ml
Grape___healthy,Red scale,"Red scale (Aonidiella aurantii) infests a range of hosts including citrus, passionfruit. Biological control is crucial so spray only if infestation is high.",TATA Tafgor Insecticide |Tata Product |100ml
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Pink wax scale,Pink wax scale (Ceroplastes rubens) is a minor and frequent pest of many tropical fruit crops but is well managed with a range of biological controls.,TATA Tafgor Insecticide |Tata Product |100ml
Potato___Early_blight,Potato moth,Potato moth (Phthorimaea operculella) is a serious pest of tomatoes and is usually supressed by parasitoids. Avoid planting adjacent to susceptible crops.,TATA Tafgor Insecticide |Tata Product |100ml
Potato___healthy,Potato moth,Potato moth (Phthorimaea operculella) is a serious pest of tomatoes and is usually supressed by parasitoids. Avoid planting adjacent to susceptible crops.,TATA Tafgor Insecticide |Tata Product |100ml
Potato___Late_blight,Potato moth,Potato moth (Phthorimaea operculella) is a serious pest of tomatoes and is usually supressed by parasitoids. Avoid planting adjacent to susceptible crops.,TATA Tafgor Insecticide |Tata Product |100ml
Tomato___Bacterial_spot,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate.",TATA Tafgor Insecticide |Tata Product |100ml
Tomato___Early_blight,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate.",TATA Tafgor Insecticide |Tata Product |100ml
Tomato___healthy,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate.",TATA Tafgor Insecticide |Tata Product |100ml
Tomato___Late_blight,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate.",TATA Tafgor Insecticide |Tata Product |100ml
Tomato___Leaf_Mold,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate.",TATA Tafgor Insecticide |Tata Product |100ml
Tomato___Septoria_leaf_spot,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate.",Liebigs Mitend for Mites and Thrips Repellent (Green)
Tomato___Spider_mites Two-spotted_spider_mite,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate.",Liebigs Mitend for Mites and Thrips Repellent (Green)
Tomato___Target_Spot,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate.",Liebigs Mitend for Mites and Thrips Repellent (Green)
Tomato___Tomato_mosaic_virus,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate.",Liebigs Mitend for Mites and Thrips Repellent (Green)
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato russet mite,"Tomato russet mite (Aculops lycopersici) affect tomato, chilli and capsicum. Maintain good farm hygiene and destroy old crops and weeds, spray when appropriate.",Liebigs Mitend for Mites and Thrips Repellent (Green)
